brand,content,score,at,replyContent,replyDate
BPCL,"I have to make mpine every time but opt doesn't come quickly, it's very annoying.",2,2026-01-14 09:17:15,,
BPCL,great experience and excellent service,5,2026-01-14 09:13:30,,
BPCL,this app is a total waste of government money. Individuals are not able to book gas cylinders using this app.,1,2026-01-14 08:51:44,,
BPCL,great,5,2026-01-14 08:20:38,,
BPCL,Nice and excellent,5,2026-01-14 07:59:31,"Hi Manoj,
We are extremely happy to know you had a great experience with BPCL. It motivates us to keep energizing lives through our offerings. Kindly spread the word and invite your friends and family to experience Hello BPCL.
- Bharat Petroleum Corporation Limited",
BPCL,"Booking date theek kariye MM/DD/YY aa raha hai, jabki hona chahiye DD/MM/YY",3,2026-01-14 07:57:43,"Hi Rajan,
We are happy to hear your feedback. We at BPCL are committed to deliver an enhanced experience to you. Kindly tell us at support@hellobpcl.in what we can do to turn it into a 5 star experience for you.
- Bharat Petroleum Corporation Limited",
BPCL,ok,5,2026-01-14 07:55:13,,
BPCL,IVRS booking is not good and it seems like you have changed it in a way that is convenient for you. Please try to change it in a way that is convenient for the customers. I can give you the necessary suggestions and help. You can contact me anytime for help....,1,2026-01-14 06:48:56,,
BPCL,വളരെ മികച്ച സേവനം,5,2026-01-14 06:22:13,,
BPCL,delivery of gas cylinder too late 😔😔,1,2026-01-14 06:16:39,,
BPCL,Good service,5,2026-01-13 23:58:00,,
BPCL,सुपर्ब सर्विस फास्ट डिलेव्हरी,5,2026-01-13 23:40:45,,
BPCL,onlin payment is not expected,3,2026-01-13 23:26:47,,
BPCL,good 💯👍,5,2026-01-13 23:01:43,,
BPCL,smoothly operating,5,2026-01-13 22:58:51,,
BPCL,It helps a lot and is good for work,5,2026-01-13 22:33:03,,
BPCL,good app,4,2026-01-13 22:10:53,,
BPCL,good,5,2026-01-13 21:59:54,,
BPCL,good app,5,2026-01-13 21:55:25,,
BPCL,डिलिव्हरी बॉय सगळे पैसे खाऊ,1,2026-01-13 21:49:24,,
BPCL,very useful,5,2026-01-13 21:23:26,,
BPCL,good 👍,5,2026-01-13 20:58:26,,
BPCL,good 👍,5,2026-01-13 20:15:29,,
BPCL,bahut hi achi aap h,5,2026-01-13 19:57:08,,
BPCL,good 👍 work,5,2026-01-13 18:55:12,,
BPCL,This is not useful as it charge convenience fee and gst No use,1,2026-01-13 18:44:56,,
BPCL,fantastic,5,2026-01-13 18:40:36,,
BPCL,sari information nhi mili,1,2026-01-13 17:54:34,,
BPCL,osm,5,2026-01-13 17:45:17,,
BPCL,helpful app and easy book & show previous history,5,2026-01-13 17:43:42,,
BPCL,Good,2,2026-01-13 17:04:45,"Hi Meeran,
We are extremely happy to know you had a great experience with BPCL. It motivates us to keep energizing lives through our offerings. Kindly spread the word and invite your friends and family to experience Hello BPCL.
- Bharat Petroleum Corporation Limited",
BPCL,good services,5,2026-01-13 16:59:30,,
BPCL,good service is provided by Nandur Gas agency,5,2026-01-13 16:36:34,,
BPCL,super,5,2026-01-13 15:41:35,,
BPCL,overall user friendly have doubt will clear there,5,2026-01-13 15:22:38,,
BPCL,worst experience!!!,1,2026-01-13 15:11:58,,
BPCL,good,5,2026-01-13 14:59:29,,
BPCL,nice app,5,2026-01-13 14:58:25,,
BPCL,good,5,2026-01-13 14:42:52,,
BPCL,good 👍,5,2026-01-13 14:26:12,,
BPCL,Good,4,2026-01-13 14:23:00,"Hi Vikash,
We are happy to hear your feedback. BPCL committed to deliver an energizing experience to you. Kindly tell us at support@hellobpcl.in what we can do to turn it into a 5 star experience for you. Also spread the word and invite your friends and family to experience Hello BPCL.
- Bharat Petroleum Corporation Limited",
BPCL,used for cylinder booking. ok,4,2026-01-13 13:47:06,,
BPCL,good,4,2026-01-13 13:31:23,,
BPCL,very slow app,1,2026-01-13 13:27:10,,
BPCL,app opens very slow.also every task gets more time .require to enhance working of app for smoother working..,1,2026-01-13 12:24:00,,
BPCL,good work service,5,2026-01-13 12:22:15,,
BPCL,excellent good service,5,2026-01-13 12:16:10,,
BPCL,"Excellent, helpful.",5,2026-01-13 12:03:20,,
BPCL,nice,5,2026-01-13 11:58:07,,
BPCL,very good service and so fast booking Thank you 🙏 BPCL,5,2026-01-13 11:48:27,,
BPCL,thats great to see very fast online booking. keep it up,5,2026-01-13 11:44:57,,
BPCL,very good service and fast delivery 👍,5,2026-01-13 11:22:03,,
BPCL,good 👍,3,2026-01-13 11:08:38,,
BPCL,it made so easy,5,2026-01-13 11:00:23,,
BPCL,good,5,2026-01-13 10:56:14,,
BPCL,Very easy and comfortable to use,5,2026-01-13 10:35:34,,
BPCL,Good,5,2026-01-13 10:25:58,,
BPCL,Good Application,5,2026-01-13 10:21:57,,
BPCL,good,5,2026-01-13 09:56:21,,
BPCL,very good,5,2026-01-13 09:50:24,,
BPCL,excellent,5,2026-01-13 09:49:44,,
BPCL,This is not installing in my phone what I do tell me guys,1,2026-01-13 09:40:28,,
BPCL,good service,5,2026-01-13 09:37:10,,
BPCL,delivery person asking 40 rupees extra...try to clear this inconvenience because they are not delivering the cylinder to first floor still they asking extra charges,1,2026-01-13 09:34:48,,
BPCL,"superb and very fast very easy to use, u people are truly best",5,2026-01-13 09:34:41,,
BPCL,good,5,2026-01-13 09:33:10,,
BPCL,good app,5,2026-01-13 09:29:28,,
BPCL,very good product,5,2026-01-13 08:37:53,,
BPCL,Good,4,2026-01-13 08:20:11,,
BPCL,good 👍,5,2026-01-13 08:19:45,,
BPCL,nice service thank you Bharat Gas,5,2026-01-13 08:09:35,,
BPCL,very good app,1,2026-01-13 08:05:41,,
BPCL,User friendly Site. Gives all the details.,5,2026-01-13 08:03:40,,
BPCL,Good,5,2026-01-13 07:59:50,,
BPCL,"Easy, Quick booking",5,2026-01-13 07:54:05,,
BPCL,very good service,5,2026-01-13 07:51:21,,
BPCL,nice,4,2026-01-13 07:16:51,,
BPCL,"superb,Easy to use.",4,2026-01-13 06:38:19,,
BPCL,superb,5,2026-01-13 05:54:32,,
BPCL,I can never pay online on this app. The order gets cancelled when paid online.,2,2026-01-12 23:26:23,,
BPCL,nice app very easy user friendly app,5,2026-01-12 23:24:27,,
BPCL,good,5,2026-01-12 23:23:13,,
BPCL,vr good 👍 ap,5,2026-01-12 23:10:15,,
BPCL,good,3,2026-01-12 22:58:53,,
BPCL,ok,5,2026-01-12 22:42:48,,
BPCL,very good,5,2026-01-12 21:39:24,,
BPCL,excellent,5,2026-01-12 21:36:55,,
BPCL,rally superb this app,5,2026-01-12 21:31:22,,
BPCL,it was good before. but I have been logged out and no otp is coming.,1,2026-01-12 21:30:16,,
BPCL,IN RECHARGE SECTION UPI PAYMENT NOT AVAILABLE ALL TIME,2,2026-01-12 21:17:06,,
BPCL,👍👍,3,2026-01-12 20:42:55,,
BPCL,good service. satisfied,5,2026-01-12 20:32:08,,
BPCL,easy to use,4,2026-01-12 20:31:49,,
BPCL,Good,5,2026-01-12 20:24:44,,
BPCL,good experience,1,2026-01-12 19:59:08,,
BPCL,very awesome,5,2026-01-12 19:57:53,,
BPCL,Nice,5,2026-01-12 19:52:44,"Hi Sek,
We are extremely happy to know you had a great experience with BPCL. It motivates us to keep energizing lives through our offerings. Kindly spread the word and invite your friends and family to experience Hello BPCL.
- Bharat Petroleum Corporation Limited",
BPCL,it would have been better if by pressing the scanner the payment could have been initiated,5,2026-01-12 19:49:20,,
BPCL,good 👍,5,2026-01-12 19:36:31,,
BPCL,nice experience,5,2026-01-12 19:21:33,,
BPCL,प्रत्येकाला कळेल असे सोप्या पद्धतीने गॅस सिलेंडर बुकिंग करता येते 👌👌👌👌🙏🙏,5,2026-01-12 18:37:46,"Hi Satish,
We are extremely happy to know you had a great experience with BPCL. It motivates us to keep energizing lives through our offerings. Kindly spread the word and invite your friends and family to experience Hello BPCL.
- Bharat Petroleum Corporation Limited",
BPCL,"Totally disappointed by booking service, but delivery services is grade 1 .",1,2026-01-12 17:30:27,,
BPCL,good app,5,2026-01-12 17:30:19,,
BPCL,BPCL very useful app in costam,5,2026-01-12 17:06:41,,
BPCL,good service,5,2026-01-12 16:57:42,,
BPCL,very good 👍,4,2026-01-12 16:38:07,,
BPCL,very worst money struk and coupons not accepted,1,2026-01-12 16:11:24,,
BPCL,thank you,5,2026-01-12 16:10:34,,
BPCL,Ghar per slender nahin mil raha hai,2,2026-01-12 15:46:27,,
BPCL,nice job,5,2026-01-12 15:19:51,,
BPCL,wonderful and easy to setup and book cylinder,5,2026-01-12 15:08:25,,
BPCL,very good,5,2026-01-12 14:52:54,,
BPCL,not showing payment oder????,1,2026-01-12 14:44:19,,
BPCL,nice,5,2026-01-12 13:56:37,,
BPCL,very good sarvice,4,2026-01-12 13:36:20,,
BPCL,Excellent,5,2026-01-12 13:25:33,,
BPCL,good,5,2026-01-12 13:19:38,,
BPCL,I have scanned many mak lube coupons but I don't receive my coupon amount,1,2026-01-12 13:18:11,,
BPCL,v good,5,2026-01-12 12:56:19,,
BPCL,it was working perfectly until last month....but I am hearing and I too facing a lot of booking issues with this app so rating pathetic,1,2026-01-12 12:52:48,,
BPCL,ok,5,2026-01-12 12:50:32,,
BPCL,very गुड service,5,2026-01-12 12:49:35,,
BPCL,good,5,2026-01-12 12:46:43,,
BPCL,good service,5,2026-01-12 11:59:52,,
BPCL,very useful app,5,2026-01-12 11:51:26,,
BPCL,this delivery boy transport charges collect,3,2026-01-12 11:51:13,,
BPCL,good,4,2026-01-12 11:44:35,,
BPCL,Best in the Business,5,2026-01-12 11:43:15,,
BPCL,good,5,2026-01-12 11:36:48,,
BPCL,gas cylinder booking this app very easy and excellent service,5,2026-01-12 11:30:44,,
BPCL,fast service,5,2026-01-12 11:21:57,,
BPCL,Easy to use and reliable.The interface and booking is so smooth no need to make call and follow the different command of customer care.,5,2026-01-12 11:19:51,,
BPCL,good delivery,5,2026-01-12 11:04:47,,
BPCL,There's no window for lodging complaint regarding non delivery of cylinder against advance payment. Received sms regarding delivery of cylinder even if the same is not delivered.,1,2026-01-12 10:57:38,,
BPCL,every time I have to register in the app. it's slows the booking process,1,2026-01-12 10:49:05,,
BPCL,good,5,2026-01-12 10:40:32,,
BPCL,very good service,5,2026-01-12 10:31:28,,
BPCL,very good,5,2026-01-12 10:20:27,,
BPCL,excellent service,5,2026-01-12 10:18:04,,
BPCL,very helpful app.,5,2026-01-12 10:17:41,,
BPCL,sp goos,5,2026-01-12 09:53:44,,
BPCL,good,5,2026-01-12 09:41:01,,
BPCL,awesome,5,2026-01-12 09:36:47,,
BPCL,good experience,5,2026-01-12 09:23:12,,
BPCL,very good,5,2026-01-12 09:07:24,,
BPCL,good👍,5,2026-01-12 08:50:36,,
BPCL,good,4,2026-01-12 08:46:20,,
BPCL,fast & secure service....thanks bharat gas,4,2026-01-12 08:45:01,,
BPCL,not at all customer friendly,4,2026-01-12 08:22:07,"Hi Victor,
We are happy to hear your feedback. BPCL is committed to delivering an energizing experience to you. Kindly tell us at support@hellobpcl.in what we can do to turn it into a 5-star experience for you. Also, spread the word and invite your friends and family to experience Hello BPCL.
- Bharat Petroleum Corporation Limited",
BPCL,not accepted Rupay card payment,1,2026-01-12 08:09:35,,
BPCL,good exilen,5,2026-01-12 08:08:35,,
BPCL,nice service,4,2026-01-12 07:57:26,,
BPCL,good,4,2026-01-12 07:46:31,,
BPCL,good,5,2026-01-12 07:42:38,,
BPCL,very good,4,2026-01-12 06:55:34,,
BPCL,excellent,5,2026-01-12 06:53:44,,
BPCL,excellent app,5,2026-01-12 06:39:22,,
BPCL,"often despite OTP it says ""invalid OTP"" please fix",4,2026-01-11 23:27:04,,
BPCL,good,5,2026-01-11 23:06:30,,
BPCL,"unable to do eKYC I received call that they will cancel my connection if i dont do eKYC on the app. App sucks gives me new error every time I try it. waste of time, all the pages just keep on loading",1,2026-01-11 23:02:18,,
BPCL,good service,4,2026-01-11 22:47:24,,
BPCL,booking cancel aye,1,2026-01-11 22:40:02,,
BPCL,good service,5,2026-01-11 21:57:37,,
BPCL,subsidy option add please,3,2026-01-11 20:27:45,,
BPCL,nice,5,2026-01-11 20:01:30,,
BPCL,"It is not detecting aadhaar face rd app for eKYC, please help",1,2026-01-11 19:28:41,,
BPCL,verry good,5,2026-01-11 19:02:12,,
BPCL,nice,5,2026-01-11 18:41:19,,
BPCL,"app does not have login logout option, hence cannot identify my account and making it difficult to use.",1,2026-01-11 18:39:11,,
BPCL,so good,5,2026-01-11 18:26:17,,
BPCL,Good plateform for Bpcl products,5,2026-01-11 18:26:08,,
BPCL,Good,5,2026-01-11 18:09:28,,
BPCL,"The app is very good but the delivery service is very pathetic, last time the delivery man, delivered the LPG cylinder which was leaking.",1,2026-01-11 17:53:39,,
BPCL,very good quality ajay kumar Awasthi,5,2026-01-11 17:38:54,,
BPCL,very good,3,2026-01-11 17:25:38,,
BPCL,"Pathetic service. Booked cylinder on 10th Jan, promised delivery on the 11th. Called the agent who redirected to an unreachable office number. All BPCL app numbers were wrong. Found another number via Google, now told delivery is on the 13th (4th day). BPCL helpline says to wait 48 hours, only then will they register a complaint, with no guarantee of same-day resolution. Disgusting—forced to eat out for 4 days.",1,2026-01-11 17:07:22,,
BPCL,Awesome,5,2026-01-11 16:58:37,,
BPCL,ok,5,2026-01-11 16:39:46,,
BPCL,nice,5,2026-01-11 16:16:16,,
BPCL,good,5,2026-01-11 15:13:06,,
BPCL,good service,4,2026-01-11 14:22:19,,
BPCL,okok,5,2026-01-11 14:07:22,,
BPCL,Actually below 1star,1,2026-01-11 13:58:37,,
BPCL,very nice App👌,5,2026-01-11 13:43:15,,
BPCL,good,5,2026-01-11 13:43:05,,
BPCL,good,3,2026-01-11 13:36:50,,
BPCL,Wonderful & Well Organised process,5,2026-01-11 13:26:10,,
BPCL,fantastic,4,2026-01-11 13:16:23,,
BPCL,let's see hope good,4,2026-01-11 13:07:03,,
BPCL,good service,5,2026-01-11 13:06:15,,
BPCL,Easy to use,5,2026-01-11 12:51:15,,
BPCL,best,5,2026-01-11 12:49:56,,
BPCL,nice,5,2026-01-11 12:40:55,,
BPCL,easy for booking,5,2026-01-11 12:30:32,,
BPCL,"there is no option to take a printout of a cash receipt of Gas delivered, speak to the customer care officer, they are told the only option is to contact the distributor and get the bill copy",2,2026-01-11 12:03:54,,
BPCL,very nice,5,2026-01-11 12:02:36,,
BPCL,very nice 👍👍,5,2026-01-11 11:53:13,,
BPCL,good,5,2026-01-11 11:42:18,,
BPCL,Staff is very supportive and also they are providing good services.,5,2026-01-11 11:40:57,,
BPCL,good,3,2026-01-11 11:35:06,,
BPCL,customer service is not fare at the distributor level,1,2026-01-11 11:27:35,,
BPCL,good,5,2026-01-11 11:26:43,,
BPCL,"good app, need to add adhar and address update option",5,2026-01-11 11:26:12,,
BPCL,booking सर्विस अच्छा है डिलीवरी सर्विस भी अच्छा बस ऑफिस में जाओ किसी काम से तो स्टाफ बदतमीज होते है बात करने की तमीज नहीं होती है,5,2026-01-11 11:19:53,,
BPCL,very good experience,5,2026-01-11 11:11:12,,
BPCL,best app,1,2026-01-11 11:03:28,,
BPCL,excellent app user friendly,5,2026-01-11 11:02:50,,
BPCL,Good,5,2026-01-11 10:46:09,,
BPCL,"Nice Service, Easy app",5,2026-01-11 10:41:19,,
BPCL,Very Good for online booking,4,2026-01-11 10:39:24,,
BPCL,very nice app,5,2026-01-11 10:26:28,,
BPCL,worst experience,1,2026-01-11 10:25:25,,
BPCL,"they book cylinder on my name but doesn't deliver to me , they give my gas to other person and now I am not able to book gas for myself they are showing you are not allowed to book gas under 15 days . they are scamming People for their profit.",1,2026-01-11 10:03:29,,
BPCL,Nice app....keep it up,5,2026-01-11 09:54:48,,
BPCL,good service,5,2026-01-11 09:53:20,,
BPCL,"flawless, easy and fast transaction",5,2026-01-11 09:51:46,,
BPCL,Too fast,5,2026-01-11 09:43:56,,
BPCL,useful,5,2026-01-11 09:41:35,,
BPCL,esme address update ka option bhi dena chahiye taki jiska address chang hota he to wo bina kisi pareshani ke update kr sake... taki use selender lene me koi pareshani na ho...,3,2026-01-11 09:37:18,,
BPCL,great service,5,2026-01-11 09:27:59,,
BPCL,good,5,2026-01-11 09:17:59,,
BPCL,Excellent service,5,2026-01-11 09:00:54,,
BPCL,"Every time I have to uninstall and install. I have updated the app, Still behaves the same way as earlier. no joy. 😞",1,2026-01-11 08:53:44,"Hi Albert,
We regret the inconvenience caused. Kindly update the app to latest version and retry by entering your registered mobile number on the first page that shows up on opening the app and then press Continue button. Let us know your registered mobile number and LPG ID on support@hellobpcl.in.
- BPCL Customer Support",
BPCL,dedicated for better service.,5,2026-01-11 08:46:24,,
BPCL,Fast delivery of cylinder,5,2026-01-11 08:41:21,,
BPCL,good 👍,5,2026-01-11 08:37:38,,
BPCL,very good job,5,2026-01-11 08:32:42,,
BPCL,OK,1,2026-01-11 08:23:01,,
BPCL,Awesome,5,2026-01-11 08:18:25,,
BPCL,good 👍,5,2026-01-11 07:40:36,,
BPCL,fabulous,5,2026-01-11 07:36:06,,
BPCL,good app,5,2026-01-11 06:57:33,,
BPCL,seamless app. 🥰,5,2026-01-11 06:50:14,,
BPCL,"Very Good Experience, Good Service.",5,2026-01-10 22:48:46,,
BPCL,waste service,1,2026-01-10 22:38:06,,
BPCL,nice app,4,2026-01-10 21:37:14,,
BPCL,👍 good,5,2026-01-10 21:26:57,,
BPCL,good,2,2026-01-10 21:13:59,,
BPCL,easy to book,5,2026-01-10 20:41:00,,
BPCL,good,5,2026-01-10 20:24:00,,
BPCL,gud,5,2026-01-10 20:18:08,,
BPCL,good,5,2026-01-10 20:17:10,,
BPCL,very slow and again again login required,1,2026-01-10 20:11:33,,
BPCL,good 👍,5,2026-01-10 20:05:25,,
BPCL,good,4,2026-01-10 19:59:30,,
BPCL,good,5,2026-01-10 19:45:03,,
BPCL,so smooth and user friendly app . small improve necessary for speed payment options. 👍👍👍👍👍👍👍,4,2026-01-10 19:22:55,,
BPCL,better,4,2026-01-10 19:21:31,,
BPCL,very good👍,4,2026-01-10 19:17:46,,
BPCL,nice,5,2026-01-10 18:52:35,,
BPCL,good,5,2026-01-10 18:45:05,,
BPCL,good,4,2026-01-10 18:28:35,,
BPCL,nice,5,2026-01-10 18:19:00,,
BPCL,Delevery boy behaware is very bad & weight mechine is not avilable,2,2026-01-10 18:07:03,,
BPCL,god aap for service,5,2026-01-10 17:44:17,,
BPCL,Good experience,5,2026-01-10 17:15:27,,
BPCL,easy to use service,5,2026-01-10 16:37:07,,
BPCL,good app,5,2026-01-10 16:34:55,,
BPCL,fresh booking showing as addition refill,3,2026-01-10 15:44:24,,
BPCL,good,5,2026-01-10 15:36:04,,
BPCL,ekyc option not visible in app😡 log customer,1,2026-01-10 15:17:25,,
BPCL,super,5,2026-01-10 15:08:06,,
BPCL,awesome,4,2026-01-10 15:07:30,,
BPCL,super app,5,2026-01-10 14:44:40,,
BPCL,very easy,5,2026-01-10 14:21:06,,
BPCL,no delivery on time,1,2026-01-10 13:59:07,,
BPCL,good,5,2026-01-10 13:54:22,,
BPCL,delivery good service,5,2026-01-10 13:19:30,,
BPCL,Best wishes retilar,5,2026-01-10 13:00:39,,
BPCL,"I cannot able to login, I am not receiving the OTP",2,2026-01-10 13:00:29,,
BPCL,best app,5,2026-01-10 12:59:30,,
BPCL,very nice aap,5,2026-01-10 12:31:43,,
BPCL,very good app,5,2026-01-10 12:20:35,,
BPCL,excellent,5,2026-01-10 12:03:43,,
BPCL,good in use seamlessly,5,2026-01-10 12:00:33,,
BPCL,poor service,1,2026-01-10 11:58:18,,
BPCL,super use,5,2026-01-10 11:53:03,,
BPCL,"let me get used to it,the 1st experience is good so far.",5,2026-01-10 11:38:27,,
BPCL,worst application. it shows technical glitches all the time,1,2026-01-10 11:30:48,,
BPCL,good,5,2026-01-10 11:24:15,,
BPCL,so easy to understand just few clicks and your work done so simple step very customers friendly app ..,5,2026-01-10 11:08:58,,
BPCL,satisfactory,5,2026-01-10 11:02:51,,
BPCL,"Poor delivery schedule, my gas cylinder not delivered yet",1,2026-01-10 11:02:31,,
BPCL,just book,5,2026-01-10 10:56:20,,
BPCL,Fantastic,5,2026-01-10 10:54:36,,
BPCL,good app for booking gas,5,2026-01-10 10:40:46,,
BPCL,goo service,5,2026-01-10 10:40:27,,
BPCL,very good service,5,2026-01-10 10:38:09,,
BPCL,nice 👍 service,4,2026-01-10 10:36:08,,
BPCL,good,5,2026-01-10 10:27:27,,
BPCL,good experience,5,2026-01-10 10:26:09,,
BPCL,"Booking disabled in the App. App needs updation. Right now, unable to book LPG Cylinder.",1,2026-01-10 10:15:42,,
BPCL,good,4,2026-01-10 10:11:14,,
BPCL,very problems face in booking of cylinder on App.,1,2026-01-10 09:53:35,,
BPCL,excellent,5,2026-01-10 09:44:04,,
BPCL,good,5,2026-01-10 09:33:18,,
BPCL,excellent service 👍,5,2026-01-10 09:08:40,,
BPCL,excallent,4,2026-01-10 08:57:02,,
BPCL,nice,5,2026-01-10 08:54:36,,
BPCL,nice service,5,2026-01-10 08:38:50,,
BPCL,good work 👍,5,2026-01-10 08:34:33,,
BPCL,"they cannot deliver on time h using the app. this has happened twice with me and the payment was also dine in advance. Rubbish application. when you guys don't know how to manage the orders through app, why do you have that option at all??",1,2026-01-10 08:24:04,,
BPCL,good,4,2026-01-10 08:15:02,,
BPCL,very good working,4,2026-01-10 08:00:22,,
BPCL,simple and best app. easy booking...,5,2026-01-10 07:59:41,,
BPCL,good,5,2026-01-10 07:48:47,,
BPCL,slander me gas kam hoti hai seel hati hoti hai,1,2026-01-10 07:17:25,,
BPCL,👏👏,5,2026-01-10 07:06:24,,
BPCL,Nice,5,2026-01-10 06:21:15,,
BPCL,Its working is very easy,5,2026-01-10 06:16:16,,
BPCL,very helpful,5,2026-01-09 22:54:10,,
BPCL,good,4,2026-01-09 22:14:57,,
BPCL,good app,5,2026-01-09 22:13:42,,
BPCL,"I lost 500 rs ,,worst app",1,2026-01-09 22:11:20,,
BPCL,very good app very effective,5,2026-01-09 21:52:03,,
BPCL,good,4,2026-01-09 21:17:05,,
BPCL,"service is not good, Cylinder delivery late after receiving receipt, also almost cylinder near about to expire date.",2,2026-01-09 21:14:09,,
BPCL,Excellent service,5,2026-01-09 20:41:15,,
BPCL,confirm marketing management and seff serves and like,5,2026-01-09 20:29:05,,
BPCL,good,5,2026-01-09 20:28:18,,
BPCL,good service,5,2026-01-09 20:22:31,,
BPCL,easy to handle and safe,5,2026-01-09 20:16:36,,
BPCL,fine,5,2026-01-09 19:42:20,,
BPCL,very nice 👍,5,2026-01-09 19:36:40,,
BPCL,good,5,2026-01-09 19:33:07,,
BPCL,good 👍,5,2026-01-09 19:25:00,,
BPCL,good,4,2026-01-09 18:40:38,,
BPCL,good,5,2026-01-09 18:18:19,,
BPCL,all in one application,5,2026-01-09 17:34:02,,
BPCL,good,5,2026-01-09 16:53:49,,
BPCL,good 👍,4,2026-01-09 16:06:02,,
BPCL,fast n comfortable,5,2026-01-09 15:58:37,,
BPCL,Good,3,2026-01-09 15:25:56,,
BPCL,very helpful,5,2026-01-09 15:23:35,,
BPCL,Best,5,2026-01-09 14:45:06,,
BPCL,good,5,2026-01-09 14:25:31,,
BPCL,gret,5,2026-01-09 14:05:11,,
BPCL,easy and simple,5,2026-01-09 14:00:16,,
BPCL,good experience .,5,2026-01-09 13:44:47,,
BPCL,I have never seen a worse app like this till date it never works properly and there is no cancellation option and it is really a very bad app maybe because it is a government owned app,1,2026-01-09 13:31:37,,
BPCL,good,5,2026-01-09 13:11:37,,
BPCL,easy approach.,5,2026-01-09 13:04:17,,
BPCL,Good 👍,5,2026-01-09 13:02:24,,
BPCL,nice,5,2026-01-09 12:55:54,,
BPCL,good app to book refil,5,2026-01-09 12:51:35,,
BPCL,good,5,2026-01-09 12:32:14,,
BPCL,good,5,2026-01-09 12:21:51,,
BPCL,gas delivery to late taking one week to delivery Bharat Gas poor service why extra pay. gas delivery boys asking 40 rupees 50 rupees extra why we have to pay extra. SaiMangala Enterprises Worst distributor in bengluru Peenya,1,2026-01-09 12:21:08,"Hi Sir/Ma'am,
We regret the inconvenience caused. You can contact your distributor or call our customer care 1800224344 to understand the process get this issue resolved. Do let us know on support@hellobpcl.in on how we can improve your app experience for a 5-star review. Please include token no. 117720 in your mail. - BPCL Customer Support

",
